,Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
180,20-Sep-2011,-0.9287,0.174,0.74,0.086,175.25,177.8,174.1,177.29,406450
181,21-Sep-2011,-0.3182,0.111,0.787,0.102,177.29,184.9,177.29,183.75,2260718
182,22-Sep-2011,-0.8689,0.161,0.723,0.11599999999999999,183.0,184.19,179.6,180.43,557874
183,23-Sep-2011,-0.9477,0.166,0.78,0.054000000000000006,177.3,178.25,173.31,173.84,1048222
184,26-Sep-2011,-0.6115,0.10300000000000001,0.8,0.09699999999999999,171.7,172.99,166.05,167.42,436749
185,27-Sep-2011,-0.9712,0.225,0.6970000000000001,0.078,169.51,174.49,169.51,173.93,347113
186,28-Sep-2011,-0.9776,0.18,0.782,0.039,174.51,175.49,173.0,173.56,607390
187,29-Sep-2011,-0.9648,0.192,0.754,0.054000000000000006,173.5,174.1,172.5,173.4,320896
188,30-Sep-2011,0.2278,0.16399999999999998,0.672,0.16399999999999998,173.1,176.0,172.7,173.27,786558
189,03-Oct-2011,-0.9816,0.27,0.6659999999999999,0.064,172.9,173.9,172.4,173.16,195325
190,04-Oct-2011,-0.9816,0.203,0.7490000000000001,0.048,173.0,175.0,173.0,174.15,1355424
191,05-Oct-2011,-0.3182,0.102,0.8190000000000001,0.079,174.25,174.6,172.51,173.2,592714
192,06-Oct-2011,-0.9081,0.162,0.7390000000000001,0.1,174.6,174.82,170.86,171.43,515494
193,07-Oct-2011,-0.9274,0.184,0.738,0.078,171.5,172.7,170.55,170.91,296370
194,10-Oct-2011,-0.25,0.062,0.89,0.048,179.45,179.45,170.1,170.97,1858586
195,11-Oct-2011,-0.7351,0.098,0.828,0.07400000000000001,171.5,171.5,168.5,168.83,733546
196,12-Oct-2011,-0.9081,0.187,0.7,0.113,169.1,169.1,166.12,167.18,713701
197,13-Oct-2011,-0.9793,0.21600000000000003,0.688,0.096,168.01,169.6,166.25,166.77,475205
198,14-Oct-2011,-0.0,0.13,0.735,0.136,167.29,168.5,164.95,167.89,857079
